prediction_id,drug,disease,source_tier,mechanism_notes,verdict,reasoning,reviewer_confidence,provenance
drkg:Disease::MESH:D004485||drkg:Compound::DB00635,Prednisone,eczema,HIGH,gene_overlap=0; lit=STRONG_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D004485||drkg:Compound::DB00993,Azathioprine,eczema,HIGH,gene_overlap=0; lit=STRONG_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D010859||drkg:Compound::DB09153,Sodium chloride,hyperpigmented skin conditions,MEDIUM,gene_overlap=0,,,,expert_ryland
drkg:Disease::MESH:D000506||drkg:Compound::DB00959,Methylprednisolone,alopecia areata,GOLDEN,mechanism_support; gene_overlap=4,,,,expert_ryland
drkg:Disease::MESH:D000506||drkg:Compound::DB00443,Betamethasone,alopecia areata,GOLDEN,mechanism_support; gene_overlap=7,,,,expert_ryland
drkg:Disease::MESH:D000506||drkg:Compound::DB01234,Dexamethasone,alopecia areata,GOLDEN,mechanism_support; gene_overlap=9,,,,expert_ryland
drkg:Disease::MESH:D000506||drkg:Compound::DB00993,Azathioprine,alopecia areata,GOLDEN,mechanism_support; gene_overlap=1; lit=STRONG_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D000506||drkg:Compound::DB00620,Triamcinolone,alopecia areata,GOLDEN,mechanism_support; gene_overlap=1,,,,expert_ryland
drkg:Disease::MESH:D000506||drkg:Compound::DB00741,Hydrocortisone,alopecia areata,GOLDEN,mechanism_support; gene_overlap=2,,,,expert_ryland
drkg:Disease::MESH:D000506||drkg:Compound::DB11817,Baricitinib,alopecia areata,GOLDEN,gene_overlap=0; lit=STRONG_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D000506||drkg:Compound::DB00635,Prednisone,alopecia areata,GOLDEN,mechanism_support; gene_overlap=2,,,,expert_ryland
drkg:Disease::MESH:D000506||drkg:Compound::DB00374,Treprostinil,alopecia areata,MEDIUM,mechanism_support; gene_overlap=18,,,,expert_ryland
drkg:Disease::MESH:D000506||drkg:Compound::DB00864,Tacrolimus,alopecia areata,GOLDEN,mechanism_support; gene_overlap=1; lit=STRONG_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D000506||drkg:Compound::DB01285,Corticotropin,alopecia areata,GOLDEN,mechanism_support; gene_overlap=1; lit=MODERATE_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D008193||drkg:Compound::DB00254,Doxycycline,early lyme disease erythema migrans,HIGH,gene_overlap=0; lit=STRONG_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D008193||drkg:Compound::DB01017,Minocycline,early lyme disease erythema migrans,MEDIUM,gene_overlap=0; lit=NO_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D008193||drkg:Compound::DB00618,Demeclocycline,early lyme disease erythema migrans,MEDIUM,gene_overlap=0; lit=NO_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D008193||drkg:Compound::DB00595,Oxytetracycline,early lyme disease erythema migrans,MEDIUM,gene_overlap=0; lit=NO_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D008193||drkg:Compound::DB00759,Tetracycline,early lyme disease erythema migrans,GOLDEN,mechanism_support; gene_overlap=1; lit=NO_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D008193||drkg:Compound::DB00199,Erythromycin,early lyme disease erythema migrans,GOLDEN,mechanism_support; gene_overlap=1; lit=NO_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D007169||drkg:Compound::DB00254,Doxycycline,impetigo,MEDIUM,gene_overlap=0; lit=WEAK_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D007169||drkg:Compound::DB00618,Demeclocycline,impetigo,MEDIUM,gene_overlap=0; lit=NO_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D007169||drkg:Compound::DB01017,Minocycline,impetigo,HIGH,gene_overlap=0; lit=STRONG_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D007169||drkg:Compound::DB00759,Tetracycline,impetigo,HIGH,gene_overlap=0; lit=STRONG_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D007169||drkg:Compound::DB00595,Oxytetracycline,impetigo,MEDIUM,gene_overlap=0; lit=WEAK_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D007169||drkg:Compound::DB00798,Gentamicin,impetigo,MEDIUM,gene_overlap=0; lit=MODERATE_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D007169||drkg:Compound::DB00199,Erythromycin,impetigo,HIGH,gene_overlap=0; lit=STRONG_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D018461||drkg:Compound::DB00254,Doxycycline,chronic pyoderma,MEDIUM,gene_overlap=0; lit=WEAK_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D010020||drkg:Compound::DB00878,Chlorhexidine,coumarininduced skin necrosis,MEDIUM,gene_overlap=0,,,,expert_ryland
drkg:Disease::MESH:D010020||drkg:Compound::DB00254,Doxycycline,coumarininduced skin necrosis,GOLDEN,mechanism_support; gene_overlap=1,,,,expert_ryland
drkg:Disease::MESH:D000152||drkg:Compound::DB00254,Doxycycline,acne vulgaris,HIGH,gene_overlap=0; lit=STRONG_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D000152||drkg:Compound::DB01017,Minocycline,acne vulgaris,HIGH,gene_overlap=0; lit=STRONG_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D000152||drkg:Compound::DB00618,Demeclocycline,acne vulgaris,MEDIUM,gene_overlap=0; lit=WEAK_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D000152||drkg:Compound::DB00759,Tetracycline,acne vulgaris,HIGH,gene_overlap=0; lit=STRONG_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D000152||drkg:Compound::DB00595,Oxytetracycline,acne vulgaris,HIGH,gene_overlap=0; lit=STRONG_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D000152||drkg:Compound::DB00936,Salicylic acid,acne vulgaris,HIGH,gene_overlap=0; lit=STRONG_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D000152||drkg:Compound::DB01190,Clindamycin,acne vulgaris,HIGH,gene_overlap=0; lit=STRONG_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D000152||drkg:Compound::DB00634,Sulfacetamide,acne vulgaris,MEDIUM,gene_overlap=0; lit=MODERATE_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D014581||drkg:Compound::DB00860,Prednisolone,urticaria,HIGH,gene_overlap=0; lit=STRONG_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D014581||drkg:Compound::DB01234,Dexamethasone,urticaria,GOLDEN,mechanism_support; gene_overlap=1,,,,expert_ryland
drkg:Disease::MESH:D014581||drkg:Compound::DB00959,Methylprednisolone,urticaria,GOLDEN,mechanism_support; gene_overlap=1,,,,expert_ryland
drkg:Disease::MESH:D014581||drkg:Compound::DB00443,Betamethasone,urticaria,GOLDEN,mechanism_support; gene_overlap=1,,,,expert_ryland
drkg:Disease::MESH:D014581||drkg:Compound::DB01285,Corticotropin,urticaria,MEDIUM,gene_overlap=0; lit=MODERATE_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D014581||drkg:Compound::DB12159,Dupilumab,urticaria,HIGH,gene_overlap=0; lit=STRONG_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D014581||drkg:Compound::DB00341,Cetirizine,urticaria,GOLDEN,mechanism_support; gene_overlap=1; lit=STRONG_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D014581||drkg:Compound::DB00751,Epinastine,urticaria,MEDIUM,mechanism_support; gene_overlap=1; lit=MODERATE_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D014581||drkg:Compound::DB00768,Olopatadine,urticaria,MEDIUM,mechanism_support; gene_overlap=1,,,,expert_ryland
drkg:Disease::MESH:D010304||drkg:Compound::DB00019,Pegfilgrastim,paronychia,MEDIUM,gene_overlap=0,,,,expert_ryland
drkg:Disease::MESH:D010304||drkg:Compound::DB11750,Clobetasol,paronychia,MEDIUM,gene_overlap=0,,,,expert_ryland
drkg:Disease::MESH:D010032||drkg:Compound::DB00254,Doxycycline,otitis externa,MEDIUM,gene_overlap=0; lit=MODERATE_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D010032||drkg:Compound::DB00798,Gentamicin,otitis externa,HIGH,gene_overlap=0; lit=STRONG_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D010032||drkg:Compound::DB00199,Erythromycin,otitis externa,MEDIUM,gene_overlap=0; lit=MODERATE_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D009260||drkg:Compound::DB00959,Methylprednisolone,skin around the nail,HIGH,gene_overlap=0,,,,expert_ryland
drkg:Disease::MESH:D009260||drkg:Compound::DB00443,Betamethasone,skin around the nail,HIGH,gene_overlap=0,,,,expert_ryland
drkg:Disease::MESH:D009260||drkg:Compound::DB01234,Dexamethasone,skin around the nail,HIGH,gene_overlap=0,,,,expert_ryland
drkg:Disease::MESH:D009260||drkg:Compound::DB00860,Prednisolone,skin around the nail,HIGH,gene_overlap=0,,,,expert_ryland
drkg:Disease::MESH:D011537||drkg:Compound::DB01234,Dexamethasone,pruritus cutaneous,GOLDEN,mechanism_support; gene_overlap=1,,,,expert_ryland
drkg:Disease::MESH:D017497||drkg:Compound::DB00860,Prednisolone,hidradenitis suppurativa,HIGH,gene_overlap=0; lit=MODERATE_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D017497||drkg:Compound::DB00959,Methylprednisolone,hidradenitis suppurativa,GOLDEN,mechanism_support; gene_overlap=1,,,,expert_ryland
drkg:Disease::MESH:D017497||drkg:Compound::DB01234,Dexamethasone,hidradenitis suppurativa,GOLDEN,mechanism_support; gene_overlap=1,,,,expert_ryland
drkg:Disease::MESH:D017497||drkg:Compound::DB00443,Betamethasone,hidradenitis suppurativa,GOLDEN,mechanism_support; gene_overlap=1,,,,expert_ryland
drkg:Disease::MESH:D017497||drkg:Compound::DB00741,Hydrocortisone,hidradenitis suppurativa,GOLDEN,mechanism_support; gene_overlap=1,,,,expert_ryland
drkg:Disease::MESH:D017497||drkg:Compound::DB00993,Azathioprine,hidradenitis suppurativa,MEDIUM,gene_overlap=0; lit=MODERATE_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D003872||drkg:Compound::DB00443,Betamethasone,dermatitis,HIGH,gene_overlap=0; lit=STRONG_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D003872||drkg:Compound::DB00959,Methylprednisolone,dermatitis,GOLDEN,mechanism_support; gene_overlap=1,,,,expert_ryland
drkg:Disease::MESH:D003872||drkg:Compound::DB00860,Prednisolone,dermatitis,HIGH,gene_overlap=0; lit=STRONG_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D003872||drkg:Compound::DB00635,Prednisone,dermatitis,GOLDEN,mechanism_support; gene_overlap=1,,,,expert_ryland
drkg:Disease::MESH:D012393||drkg:Compound::DB00254,Doxycycline,rosacea,HIGH,gene_overlap=0; lit=STRONG_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D012393||drkg:Compound::DB00199,Erythromycin,rosacea,HIGH,gene_overlap=0; lit=STRONG_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D012393||drkg:Compound::DB01017,Minocycline,rosacea,GOLDEN,mechanism_support; gene_overlap=1,,,,expert_ryland
drkg:Disease::MESH:D003877||drkg:Compound::DB00959,Methylprednisolone,contact dermatitis,HIGH,gene_overlap=0; lit=STRONG_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D003877||drkg:Compound::DB00860,Prednisolone,contact dermatitis,HIGH,gene_overlap=0; lit=STRONG_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D003877||drkg:Compound::DB00741,Hydrocortisone,contact dermatitis,HIGH,gene_overlap=0; lit=STRONG_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D003877||drkg:Compound::DB01234,Dexamethasone,contact dermatitis,HIGH,gene_overlap=0; lit=STRONG_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D003877||drkg:Compound::DB00635,Prednisone,contact dermatitis,HIGH,gene_overlap=0; lit=MODERATE_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D003877||drkg:Compound::DB00993,Azathioprine,contact dermatitis,HIGH,gene_overlap=0; lit=STRONG_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D010391||drkg:Compound::DB00860,Prednisolone,bullous pemphigoid,HIGH,gene_overlap=0; lit=STRONG_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D010391||drkg:Compound::DB00959,Methylprednisolone,bullous pemphigoid,GOLDEN,mechanism_support; gene_overlap=1,,,,expert_ryland
drkg:Disease::MESH:D010391||drkg:Compound::DB01234,Dexamethasone,bullous pemphigoid,GOLDEN,mechanism_support; gene_overlap=1,,,,expert_ryland
drkg:Disease::MESH:D010391||drkg:Compound::DB00443,Betamethasone,bullous pemphigoid,GOLDEN,mechanism_support; gene_overlap=1,,,,expert_ryland
drkg:Disease::MESH:D010391||drkg:Compound::DB00741,Hydrocortisone,bullous pemphigoid,GOLDEN,mechanism_support; gene_overlap=1,,,,expert_ryland
drkg:Disease::MESH:D010391||drkg:Compound::DB12159,Dupilumab,bullous pemphigoid,GOLDEN,gene_overlap=0; lit=STRONG_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D007642||drkg:Compound::DB00936,Salicylic acid,keratosis pilaris,MEDIUM,gene_overlap=0; lit=MODERATE_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D007642||drkg:Compound::DB00959,Methylprednisolone,keratosis pilaris,GOLDEN,mechanism_support; gene_overlap=1,,,,expert_ryland
drkg:Disease::MESH:D007642||drkg:Compound::DB00019,Pegfilgrastim,keratosis pilaris,MEDIUM,gene_overlap=0,,,,expert_ryland
drkg:Disease::MESH:D011711||drkg:Compound::DB00254,Doxycycline,pyoderma,HIGH,gene_overlap=0; lit=MODERATE_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D011711||drkg:Compound::DB01017,Minocycline,pyoderma,HIGH,gene_overlap=0; lit=MODERATE_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D011711||drkg:Compound::DB00618,Demeclocycline,pyoderma,MEDIUM,gene_overlap=0; lit=NO_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D011711||drkg:Compound::DB00759,Tetracycline,pyoderma,MEDIUM,gene_overlap=0; lit=MODERATE_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D011711||drkg:Compound::DB00199,Erythromycin,pyoderma,HIGH,gene_overlap=0; lit=STRONG_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D012628||drkg:Compound::DB00860,Prednisolone,severe seborrheic dermatitis,MEDIUM,gene_overlap=0; lit=NO_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D012628||drkg:Compound::DB00959,Methylprednisolone,severe seborrheic dermatitis,MEDIUM,gene_overlap=0; lit=NO_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D012628||drkg:Compound::DB00741,Hydrocortisone,severe seborrheic dermatitis,MEDIUM,gene_overlap=0; lit=NO_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D012628||drkg:Compound::DB01234,Dexamethasone,severe seborrheic dermatitis,MEDIUM,gene_overlap=0; lit=NO_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D055623||drkg:Compound::DB00544,Fluorouracil,actinic keratosis,GOLDEN,gene_overlap=0; lit=STRONG_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D055623||drkg:Compound::DB00936,Salicylic acid,actinic keratosis,GOLDEN,mechanism_support; gene_overlap=1; lit=STRONG_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D055623||drkg:Compound::DB00724,Imiquimod,actinic keratosis,GOLDEN,gene_overlap=0; lit=STRONG_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D055623||drkg:Compound::DB00855,Aminolevulinic acid,actinic keratosis,GOLDEN,gene_overlap=0; lit=STRONG_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D055623||drkg:Compound::DB00586,Diclofenac,actinic keratosis,GOLDEN,mechanism_support; gene_overlap=1,,,,expert_ryland
drkg:Disease::MESH:D012871||drkg:Compound::DB00959,Methylprednisolone,skin irritations,GOLDEN,mechanism_support; gene_overlap=4,,,,expert_ryland
drkg:Disease::MESH:D012871||drkg:Compound::DB00443,Betamethasone,skin irritations,GOLDEN,mechanism_support; gene_overlap=3,,,,expert_ryland
drkg:Disease::MESH:D012871||drkg:Compound::DB00741,Hydrocortisone,skin irritations,GOLDEN,mechanism_support; gene_overlap=2,,,,expert_ryland
drkg:Disease::MESH:D012871||drkg:Compound::DB01234,Dexamethasone,skin irritations,GOLDEN,mechanism_support; gene_overlap=3,,,,expert_ryland
drkg:Disease::MESH:D012871||drkg:Compound::DB00620,Triamcinolone,skin irritations,GOLDEN,mechanism_support; gene_overlap=2,,,,expert_ryland
drkg:Disease::MESH:D012871||drkg:Compound::DB00281,Lidocaine,skin irritations,GOLDEN,mechanism_support; gene_overlap=1,,,,expert_ryland
drkg:Disease::MESH:D004892||drkg:Compound::DB00860,Prednisolone,severe erythema multiforme,MEDIUM,gene_overlap=0; lit=NO_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D004892||drkg:Compound::DB00959,Methylprednisolone,severe erythema multiforme,MEDIUM,gene_overlap=0; lit=WEAK_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D004892||drkg:Compound::DB00741,Hydrocortisone,severe erythema multiforme,MEDIUM,gene_overlap=0; lit=NO_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D004892||drkg:Compound::DB01234,Dexamethasone,severe erythema multiforme,MEDIUM,gene_overlap=0; lit=NO_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D004892||drkg:Compound::DB00635,Prednisone,severe erythema multiforme,MEDIUM,gene_overlap=0; lit=WEAK_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D019588||drkg:Compound::DB01202,Levetiracetam,early skin aging,MEDIUM,mechanism_support; gene_overlap=1,,,,expert_ryland
drkg:Disease::MESH:D019588||drkg:Compound::DB00564,Carbamazepine,early skin aging,MEDIUM,mechanism_support; gene_overlap=1,,,,expert_ryland
drkg:Disease::MESH:D019588||drkg:Compound::DB00829,Diazepam,early skin aging,MEDIUM,mechanism_support; gene_overlap=1,,,,expert_ryland
drkg:Disease::MESH:D019588||drkg:Compound::DB00252,Phenytoin,early skin aging,MEDIUM,mechanism_support; gene_overlap=1,,,,expert_ryland
drkg:Disease::MESH:D019588||drkg:Compound::DB00555,Lamotrigine,early skin aging,MEDIUM,mechanism_support; gene_overlap=1,,,,expert_ryland
drkg:Disease::MESH:D019588||drkg:Compound::DB00996,Gabapentin,early skin aging,MEDIUM,mechanism_support; gene_overlap=1,,,,expert_ryland
drkg:Disease::MESH:D010916||drkg:Compound::DB00993,Azathioprine,pityriasis rubra pilaris,MEDIUM,gene_overlap=0; lit=MODERATE_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D014820||drkg:Compound::DB00959,Methylprednisolone,vitiligo,GOLDEN,mechanism_support; gene_overlap=3,,,,expert_ryland
drkg:Disease::MESH:D014820||drkg:Compound::DB00635,Prednisone,vitiligo,GOLDEN,mechanism_support; gene_overlap=1,,,,expert_ryland
drkg:Disease::MESH:D014820||drkg:Compound::DB01234,Dexamethasone,vitiligo,GOLDEN,mechanism_support; gene_overlap=2,,,,expert_ryland
drkg:Disease::MESH:D014820||drkg:Compound::DB00443,Betamethasone,vitiligo,GOLDEN,mechanism_support; gene_overlap=2,,,,expert_ryland
drkg:Disease::MESH:D014820||drkg:Compound::DB00620,Triamcinolone,vitiligo,GOLDEN,mechanism_support; gene_overlap=1,,,,expert_ryland
drkg:Disease::MESH:D014820||drkg:Compound::DB12159,Dupilumab,vitiligo,MEDIUM,gene_overlap=0,,,,expert_ryland
drkg:Disease::MESH:D014820||drkg:Compound::DB00033,Interferon gamma-1b,vitiligo,MEDIUM,mechanism_support; gene_overlap=1,,,,expert_ryland
drkg:Disease::MESH:D014820||drkg:Compound::DB08877,Ruxolitinib,vitiligo,MEDIUM,mechanism_support; gene_overlap=1,,,,expert_ryland
drkg:Disease::MESH:D014820||drkg:Compound::DB00394,Beclomethasone,vitiligo,MEDIUM,mechanism_support; gene_overlap=1,,,,expert_ryland
drkg:Disease::MESH:D014820||drkg:Compound::DB00783,Estradiol,vitiligo,MEDIUM,mechanism_support; gene_overlap=2,,,,expert_ryland
drkg:Disease::MESH:D014820||drkg:Compound::DB00328,Indomethacin,vitiligo,MEDIUM,mechanism_support; gene_overlap=1,,,,expert_ryland
drkg:Disease::MESH:D009450||drkg:Compound::DB00959,Methylprednisolone,lichen simplex chronicus neurodermatitis,MEDIUM,gene_overlap=0; lit=NO_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D009450||drkg:Compound::DB01234,Dexamethasone,lichen simplex chronicus neurodermatitis,MEDIUM,gene_overlap=0; lit=NO_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D009450||drkg:Compound::DB00860,Prednisolone,lichen simplex chronicus neurodermatitis,MEDIUM,gene_overlap=0; lit=NO_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D009450||drkg:Compound::DB00443,Betamethasone,lichen simplex chronicus neurodermatitis,MEDIUM,gene_overlap=0; lit=WEAK_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D009450||drkg:Compound::DB00635,Prednisone,lichen simplex chronicus neurodermatitis,HIGH,gene_overlap=0,,,,expert_ryland
drkg:Disease::MESH:D010392||drkg:Compound::DB00959,Methylprednisolone,pemphigus foliaceus,HIGH,gene_overlap=0; lit=MODERATE_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D010392||drkg:Compound::DB00741,Hydrocortisone,pemphigus foliaceus,GOLDEN,mechanism_support; gene_overlap=1,,,,expert_ryland
drkg:Disease::MESH:D010392||drkg:Compound::DB00860,Prednisolone,pemphigus foliaceus,HIGH,gene_overlap=0; lit=STRONG_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D010392||drkg:Compound::DB01234,Dexamethasone,pemphigus foliaceus,GOLDEN,mechanism_support; gene_overlap=1,,,,expert_ryland
drkg:Disease::MESH:D010392||drkg:Compound::DB00620,Triamcinolone,pemphigus foliaceus,GOLDEN,mechanism_support; gene_overlap=1,,,,expert_ryland
drkg:Disease::MESH:D010392||drkg:Compound::DB00443,Betamethasone,pemphigus foliaceus,GOLDEN,mechanism_support; gene_overlap=1,,,,expert_ryland
drkg:Disease::MESH:D010392||drkg:Compound::DB00993,Azathioprine,pemphigus foliaceus,HIGH,gene_overlap=0; lit=STRONG_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D010392||drkg:Compound::DB00073,Rituximab,pemphigus foliaceus,HIGH,gene_overlap=0; lit=STRONG_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D007627||drkg:Compound::DB00959,Methylprednisolone,keloids,MEDIUM,gene_overlap=0; lit=WEAK_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D007627||drkg:Compound::DB00860,Prednisolone,keloids,MEDIUM,gene_overlap=0; lit=WEAK_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D007627||drkg:Compound::DB01234,Dexamethasone,keloids,HIGH,gene_overlap=0; lit=STRONG_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D007627||drkg:Compound::DB00635,Prednisone,keloids,HIGH,gene_overlap=0,,,,expert_ryland
drkg:Disease::MESH:D007627||drkg:Compound::DB00741,Hydrocortisone,keloids,GOLDEN,mechanism_support; gene_overlap=1,,,,expert_ryland
drkg:Disease::MESH:D007627||drkg:Compound::DB00443,Betamethasone,keloids,HIGH,gene_overlap=0; lit=STRONG_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D003876||drkg:Compound::DB00959,Methylprednisolone,atopic dermatitis,GOLDEN,mechanism_support; gene_overlap=7,,,,expert_ryland
drkg:Disease::MESH:D003876||drkg:Compound::DB01234,Dexamethasone,atopic dermatitis,GOLDEN,mechanism_support; gene_overlap=8,,,,expert_ryland
drkg:Disease::MESH:D003876||drkg:Compound::DB00620,Triamcinolone,atopic dermatitis,GOLDEN,mechanism_support; gene_overlap=3,,,,expert_ryland
drkg:Disease::MESH:D003876||drkg:Compound::DB00741,Hydrocortisone,atopic dermatitis,GOLDEN,mechanism_support; gene_overlap=4,,,,expert_ryland
drkg:Disease::MESH:D003876||drkg:Compound::DB00635,Prednisone,atopic dermatitis,GOLDEN,mechanism_support; gene_overlap=2,,,,expert_ryland
drkg:Disease::MESH:D003876||drkg:Compound::DB00860,Prednisolone,atopic dermatitis,GOLDEN,mechanism_support; gene_overlap=1,,,,expert_ryland
